KLM;Wingspan;Length;Height;Cruising speed (km/h);Range (km);Passengers;MTOW (kg);Toilets;Max payload;Wing area
Airbus A330-200;60,3;58,37;16,8;880;8800;289;233000;7;49500;361,6
Airbus A330-300;60,3;63,69;16,8;880;8200;292;233000;8;51700;361,6
Boeing 737-700;35,8;33,62;12,6;850;3500;142;65317;3;16500;125
Boeing 737-800;35,8;39,47;12,6;850;4200;186;73700;3;20540;125
Boeing 737-900;35,8;42,12;12,6;850;4300;188;76900;3;20240;125
Boeing 747-400;64,44;70,67;19,4;920;11500;408;390100;9;70620;541,2
Boeing 777-200ER;60,9;63,8;18,5;900;11800;320;297500;5;51250;427,8
Boeing 777-300ER;64,8;73,86;18,5;920;12000;408;351543;7;68500;436,8
Boeing 787-9;60,1;62,8;16,3;920;11500;294;252650;6;41050;360,5
Embraer 175;26;31,68;9,86;850;3300;88;36500;2;9900;72,7
